?SNDlib native format; type: network; version: 1.0
# network pioro40

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N0 ( 149.00 563.00 )
  N1 ( 286.00 393.00 )
  N2 ( 550.00 228.00 )
  N3 ( 136.00 446.00 )
  N4 ( 273.00 488.00 )
  N5 ( 104.00 212.00 )
  N6 ( 236.00 182.00 )
  N7 ( 515.00 494.00 )
  N8 ( 595.00 421.00 )
  N9 ( 334.00 162.00 )
  N10 ( 198.00 470.00 )
  N11 ( 521.00 547.00 )
  N12 ( 182.00 543.00 )
  N13 ( 90.00 473.00 )
  N14 ( 586.00 494.00 )
  N15 ( 637.00 563.00 )
  N16 ( 42.00 565.00 )
  N17 ( 507.00 313.00 )
  N18 ( 695.00 335.00 )
  N19 ( 241.00 606.00 )
  N20 ( 410.00 574.00 )
  N21 ( 464.00 240.00 )
  N22 ( 402.00 185.00 )
  N23 ( 543.00 173.00 )
  N24 ( 223.00 331.00 )
  N25 ( 610.00 242.00 )
  N26 ( 562.00 340.00 )
  N27 ( 682.00 608.00 )
  N28 ( 143.00 497.00 )
  N29 ( 277.00 288.00 )
  N30 ( 572.00 388.00 )
  N31 ( 323.00 502.00 )
  N32 ( 459.00 483.00 )
  N33 ( 315.00 627.00 )
  N34 ( 410.00 435.00 )
  N35 ( 345.00 344.00 )
  N36 ( 35.00 360.00 )
  N37 ( 252.00 514.00 )
  N38 ( 409.00 640.00 )
  N39 ( 438.00 326.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L0_12 ( N0 N12 ) 0.00 0.00 0.00 178.00 ( 155.00 178.00 622.00 534.00 )
  L0_13 ( N0 N13 ) 0.00 0.00 0.00 84.00 ( 155.00 84.00 622.00 252.00 )
  L0_16 ( N0 N16 ) 0.00 0.00 0.00 56.00 ( 155.00 56.00 622.00 168.00 )
  L0_19 ( N0 N19 ) 0.00 0.00 0.00 169.00 ( 155.00 169.00 622.00 507.00 )
  L0_28 ( N0 N28 ) 0.00 0.00 0.00 181.00 ( 155.00 181.00 622.00 543.00 )
  L1_3 ( N1 N3 ) 0.00 0.00 0.00 262.00 ( 155.00 262.00 622.00 786.00 )
  L1_4 ( N1 N4 ) 0.00 0.00 0.00 259.00 ( 155.00 259.00 622.00 777.00 )
  L1_31 ( N1 N31 ) 0.00 0.00 0.00 226.00 ( 155.00 226.00 622.00 678.00 )
  L1_39 ( N1 N39 ) 0.00 0.00 0.00 186.00 ( 155.00 186.00 622.00 558.00 )
  L2_17 ( N2 N17 ) 0.00 0.00 0.00 62.00 ( 155.00 62.00 622.00 186.00 )
  L2_21 ( N2 N21 ) 0.00 0.00 0.00 95.00 ( 155.00 95.00 622.00 285.00 )
  L2_23 ( N2 N23 ) 0.00 0.00 0.00 216.00 ( 155.00 216.00 622.00 648.00 )
  L2_25 ( N2 N25 ) 0.00 0.00 0.00 156.00 ( 155.00 156.00 622.00 468.00 )
  L3_5 ( N3 N5 ) 0.00 0.00 0.00 152.00 ( 155.00 152.00 622.00 456.00 )
  L3_10 ( N3 N10 ) 0.00 0.00 0.00 83.00 ( 155.00 83.00 622.00 249.00 )
  L3_13 ( N3 N13 ) 0.00 0.00 0.00 168.00 ( 155.00 168.00 622.00 504.00 )
  L3_36 ( N3 N36 ) 0.00 0.00 0.00 199.00 ( 155.00 199.00 622.00 597.00 )
